Pre-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Label
19.14,46.95,32.9,32.9,33.12,29.47,78.0,19.2,0
5.7,6.9,6.05,6.1,6.2,6.05,4.2,4.25,0
20.5,21.6,32.9,38.2,27.7,21.2,34.3,23.25,0
40.4,41.6,43.5,45.13,48.1,47.96,47.5,48.58,1
22.7,30.0,28.2,26.1,25.7,23.2,21.0,24.5,0
9.0,5.4,7.85,5.5,5.9,5.9,4.7,6.5,0
24.25,25.35,25.0,25.0,26.25,26.0,26.25,26.4,1
4.9,8.1,6.2,4.7,8.25,3.2,5.9,5.9,0
26.65,16.3,18.42,20.0,19.0,23.0,17.75,25.28,1
143.5,141.8,148.7,151.2,153.0,177.0,174.8,175.9,1
5.5,5.1,5.45,3.1,6.5,3.0,3.6,4.0,0
23.0,18.5,17.3,13.0,16.7,15.0,14.7,16.75,0
35.64,36.43,36.54,37.67,38.28,35.75,40.08,40.47,1
12.6,12.5,12.6,12.6,12.6,9.0,12.1,10.3,0
20.1,20.0,23.3,19.1,24.1,11.1,10.9,11.2,0
41.0,53.7,63.6,70.6,75.3,74.8,24.97,13.7,0
30.4,30.57,30.66,30.7,30.95,32.61,32.21,33.8,1
13.5,14.7,14.6,14.6,14.4,14.1,14.0,13.5,0
14.0,16.0,19.0,16.9,16.3,9.0,9.6,13.5,0
12.3,12.0,11.6,11.5,13.1,11.1,9.6,12.2,0
73.1,82.6,64.94,88.5,89.3,81.5,81.0,82.6,1
18.0,11.4,12.0,13.41,12.9,11.4,11.0,14.6,0
11.25,13.75,10.52,9.12,14.27,9.53,10.15,16.24,0
15.68,8.8,9.55,23.6,18.2,12.6,13.2,16.6,0
8.3,8.4,7.7,5.3,3.4,6.15,7.4,6.1,0
2.75,3.25,2.8,2.8,3.5,2.7,1.5,2.75,0
23.65,29.05,32.3,35.4,38.4,34.4,27.65,28.75,1
16.1,18.4,24.2,25.0,29.0,14.8,34.9,18.8,0
6.7,7.45,7.65,7.65,8.15,8.4,8.15,7.6,0
4.72,7.0,3.9,5.25,5.75,4.4,4.14,2.86,0
14.0,14.2,15.1,14.6,19.0,17.2,14.35,13.5,0
9.7,10.1,10.75,10.85,11.15,11.7,11.8,12.5,0
13.0,12.5,14.6,17.0,16.7,12.0,12.4,12.9,0
5.3,6.6,7.1,6.1,5.8,5.4,6.3,6.1,0
63.22,66.1,63.6,67.5,65.55,65.15,75.7,63.4,1
8.55,8.55,11.45,8.3,13.09,11.8,14.15,14.7,0
65.6,48.94,56.4,61.5,46.15,72.5,60.0,34.16,1
21.1,22.6,22.1,29.3,6.7,18.0,24.15,26.1,1
11.58,11.71,11.35,15.0,15.25,10.65,16.15,15.65,0
8.4,11.2,7.8,8.9,8.3,7.6,6.9,6.8,0
156.0,145.7,150.15,152.0,156.45,158.0,156.7,160.6,1
32.5,33.1,34.7,34.5,34.58,35.72,36.68,39.14,1
9.6,10.4,10.45,10.57,11.95,12.55,9.8,10.6,0
4.65,4.68,4.2,3.65,2.88,3.42,4.3,4.4,0
19.82,22.55,23.11,23.67,23.52,23.64,30.45,27.32,1
24.5,25.13,32.8,24.95,23.9,28.6,21.8,23.6,0
5.2,6.5,5.45,4.36,4.45,3.2,3.8,3.5,0
32.01,33.53,34.4,35.6,38.7,38.7,38.6,38.5,1
23.59,24.76,25.92,27.77,27.85,28.03,28.48,31.72,1
27.5,27.5,31.1,27.2,30.2,26.8,23.8,25.6,1
19.2,21.2,30.4,19.9,29.9,14.3,15.1,14.7,0
5.9,8.5,8.6,8.8,8.8,8.2,6.5,7.6,0
16.3,9.4,15.4,8.1,24.4,13.35,20.8,20.2,0
16.01,17.35,17.58,18.73,17.78,17.11,17.5,18.4,0
7.8,7.8,7.8,7.8,7.8,7.5,5.8,5.9,0
41.8,41.8,41.55,39.9,42.1,42.2,40.3,40.4,1
11.4,12.0,12.0,10.55,16.3,11.5,7.4,5.9,0
8.0,14.0,9.2,15.0,10.4,13.1,11.1,9.4,0
83.9,83.95,83.58,83.88,85.18,86.1,88.75,88.6,1
54.5,60.0,61.0,63.6,63.15,63.1,64.0,64.5,1
16.6,17.0,17.1,17.15,16.95,16.4,17.3,17.2,0
6.5,6.15,5.76,5.25,5.15,5.28,5.95,6.2,0
8.6,11.55,10.15,11.35,12.35,8.2,10.2,11.9,0
13.7,15.1,15.2,14.2,16.0,14.1,12.8,13.6,0
56.4,57.0,59.6,58.0,59.8,59.5,59.1,58.9,1
14.9,21.55,8.75,15.1,17.1,16.8,8.4,10.4,0
65.95,66.7,67.4,68.2,68.9,78.8,80.2,78.1,1
47.81,45.06,39.75,25.85,31.75,39.75,37.75,15.95,0
5.6,6.5,7.0,6.1,8.3,8.2,11.9,12.0,0
6.55,3.88,1.69,1.69,12.8,16.25,5.95,7.23,0
23.08,16.4,22.34,24.42,25.5,19.36,21.86,15.63,0
30.6,31.0,34.5,34.6,34.3,35.0,36.0,31.1,1
10.0,10.0,6.9,6.1,8.6,10.0,10.0,6.2,0
16.8,13.2,14.3,10.8,15.8,14.2,13.7,14.15,0
8.8,11.0,10.26,11.4,10.3,8.35,11.1,7.6,0
14.0,12.66,10.6,10.0,9.65,6.84,7.04,12.6,0
11.07,11.05,8.87,10.27,12.57,10.27,9.87,12.57,0
11.7,13.5,15.6,12.5,16.5,16.6,16.1,16.7,0
6.5,6.5,8.0,11.1,14.5,10.3,10.1,10.8,0
28.75,35.91,30.35,34.85,44.65,17.2,17.2,27.22,1
14.6,17.8,11.1,16.9,21.6,8.05,13.75,15.4,0
32.3,38.4,40.1,52.2,52.8,23.11,34.8,16.4,0
78.1,77.8,76.6,77.4,77.5,77.3,69.0,72.3,1
9.4,9.7,10.2,9.65,12.8,12.3,10.1,8.8,0
10.1,8.7,8.8,8.5,11.2,6.6,10.33,8.2,0
3.45,3.6,3.28,3.38,4.18,5.05,5.15,6.55,0
11.55,12.9,8.2,12.9,10.4,11.0,11.4,12.1,0
5.7,6.4,6.5,6.5,6.5,6.5,6.5,6.7,0
15.45,17.6,20.05,11.75,14.7,16.4,12.6,9.7,0
17.0,17.0,17.0,13.1,17.0,13.9,12.1,12.8,0
8.7,10.4,9.5,10.0,10.5,8.0,9.5,9.1,0
34.98,35.4,34.95,35.9,35.91,37.0,38.6,38.7,1
57.2,59.0,58.5,60.5,62.0,61.8,63.0,64.0,1
8.4,8.6,4.87,12.1,7.9,8.0,9.32,7.9,0
9.95,11.4,10.1,11.5,10.7,7.3,10.1,10.5,0
9.65,12.6,12.7,13.1,12.45,12.95,11.99,11.65,0
42.6,45.55,47.9,47.05,48.2,48.7,49.6,49.65,1
39.2,37.5,40.1,35.5,40.6,41.0,42.3,44.15,1
12.8,14.6,13.0,13.5,15.3,14.2,13.9,15.3,0
12.5,14.2,15.9,13.8,16.5,17.5,14.6,17.2,0
4.4,5.5,5.3,3.7,4.0,3.0,2.9,3.05,0
11.8,14.2,13.8,14.0,14.2,9.4,12.2,11.2,0
99.3,99.75,99.75,99.3,100.9,100.3,94.7,96.8,1
21.2,17.4,20.4,17.7,22.6,21.5,22.2,24.9,0
67.85,69.75,68.65,70.65,73.05,84.85,83.35,90.35,1
66.72,67.05,69.52,71.5,71.59,72.72,73.67,74.85,1
